site.date,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,notes
Century_Landing_fall_2018,K2,control,0,0,0,cellulose,-11.46387147,0,,,
Century_Landing_fall_2018,K4,control,0,0,0,cellulose,-6.697897702,0,,,
Century_Landing_fall_2018,K8,control,0,0,0,cellulose,-8.155867255,0,,,
Century_Landing_fall_2018,L1,control,0,0,0,cellulose,-8.447982408,0,,,
Century_Landing_fall_2018,Q7,control,0,0,0,cellulose,-11.09657831,0,,,
Century_Landing_fall_2018,K3,N,1,0,0,cellulose,-7.604608677,0,,,
Century_Landing_fall_2018,N1,N,1,0,0,cellulose,-9.074446336,0,,,
Century_Landing_fall_2018,O1,N,1,0,0,cellulose,-8.719389304,0,,,
Century_Landing_fall_2018,Q1,N,1,0,0,cellulose,-8.10699755,0,,,
Century_Landing_fall_2018,R3,N,1,0,0,cellulose,-7.927799002,0,,,
Century_Landing_fall_2018,L7,NP,1,1,0,cellulose,-10.92935948,0,,,
Century_Landing_fall_2018,M1,NP,1,1,0,cellulose,-8.014348359,0,,,
Century_Landing_fall_2018,M4,NP,1,1,0,cellulose,-7.842800267,0,,,
Century_Landing_fall_2018,N6,NP,1,1,0,cellulose,-9.517986638,0,,,
Century_Landing_fall_2018,R2,NP,1,1,0,cellulose,-10.60334438,0,,,
Century_Landing_fall_2018,O6,NPSi,1,1,1,cellulose,-7.512477773,0,,,
Century_Landing_fall_2018,R4,NPSi,1,1,1,cellulose,-11.48904162,0,,,
Century_Landing_fall_2018,S2,NPSi,1,1,1,cellulose,-12.10385831,0,,,
Century_Landing_fall_2018,S7,NPSi,1,1,1,cellulose,-12.12149233,0,,,
Century_Landing_fall_2018,S8,NPSi,1,1,1,cellulose,-10.17540234,0,,,
Century_Landing_fall_2018,K7,NSi,1,0,1,cellulose,-7.488706742,0,,,
Century_Landing_fall_2018,O4,NSi,1,0,1,cellulose,-5.130752181,0,,,
Century_Landing_fall_2018,Q3,NSi,1,0,1,cellulose,-8.153145738,0,,,
Century_Landing_fall_2018,Q4,NSi,1,0,1,cellulose,-7.830229386,0,,,
Century_Landing_fall_2018,T5,NSi,1,0,1,cellulose,-10.50641974,0,,,
Century_Landing_fall_2018,L3,P,0,1,0,cellulose,-7.830229386,0,,,
Century_Landing_fall_2018,N3,P,0,1,0,cellulose,-7.851037352,0,,,
Century_Landing_fall_2018,P8,P,0,1,0,cellulose,-10.34708988,0,,,
Century_Landing_fall_2018,S1,P,0,1,0,cellulose,-8.853543256,0,,,
Century_Landing_fall_2018,T3,P,0,1,0,cellulose,-8.355714887,0,,,
Century_Landing_fall_2018,K6,PSi,0,1,1,cellulose,-9.491646557,0,,,
Century_Landing_fall_2018,L2,PSi,0,1,1,cellulose,-8.138076308,0,,,
Century_Landing_fall_2018,L5,PSi,0,1,1,cellulose,-7.694752655,0,,,
Century_Landing_fall_2018,O5,PSi,0,1,1,cellulose,-8.293974982,0,,,
Century_Landing_fall_2018,P4,PSi,0,1,1,cellulose,-11.50210675,0,,,
Century_Landing_fall_2018,M2,Si,0,0,1,cellulose,-8.788513033,0,,,
Century_Landing_fall_2018,M7,Si,0,0,1,cellulose,-9.193607927,0,,,
Century_Landing_fall_2018,P1,Si,0,0,1,cellulose,-8.25835514,0,,,
Century_Landing_fall_2018,Q2,Si,0,0,1,cellulose,-11.54019416,0,,,
Century_Landing_fall_2018,S6,Si,0,0,1,cellulose,-13.06314877,0,,,
Century_Landing_fall_2018,K5,control,0,0,0,glass,-12.128603,0.318334302,1.462715804,3.770391403,
Century_Landing_fall_2018,M5,control,0,0,0,glass,-5.625357231,0,1.011268945,2.606712613,
Century_Landing_fall_2018,O8,control,0,0,0,glass,-9.52296108,0,1.059437097,2.730873976,
Century_Landing_fall_2018,P6,control,0,0,0,glass,-9.014926089,0,1.391671298,3.587262464,
Century_Landing_fall_2018,T8,control,0,0,0,glass,-12.40316325,0,1.17339976,3.024631548,
Century_Landing_fall_2018,L8,N,1,0,0,glass,-9.699745111,0,0.904195902,2.330714174,
Century_Landing_fall_2018,N4,N,1,0,0,glass,-8.958021149,0,1.262820851,3.255129168,
Century_Landing_fall_2018,O3,N,1,0,0,glass,-6.808464649,0,0.50652231,1.305644855,
Century_Landing_fall_2018,P3,N,1,0,0,glass,-9.403574462,0,1.372194165,3.537056939,
Century_Landing_fall_2018,T2,N,1,0,0,glass,-10.36422027,0,0.619771536,1.597563426,
Century_Landing_fall_2018,M6,NP,1,1,0,glass,-8.899758844,0,1.223770607,3.15447072,
Century_Landing_fall_2018,M8,NP,1,1,0,glass,-7.361876748,0,0.686533824,1.769654242,
Century_Landing_fall_2018,N2,NP,1,1,0,glass,-6.248428962,0,0.38688255,0.997253627,
Century_Landing_fall_2018,P5,NP,1,1,0,glass,-9.412592875,0,0.866252605,2.232909062,
Century_Landing_fall_2018,Q5,NP,1,1,0,glass,-6.463146011,0,0.253428358,0.653253421,
Century_Landing_fall_2018,O2,NPSi,1,1,1,glass,-7.420948252,0,0.813624675,2.097251887,
Century_Landing_fall_2018,P2,NPSi,1,1,1,glass,-8.293974982,0,1.085132004,2.797106839,
Century_Landing_fall_2018,Q6,NPSi,1,1,1,glass,-12.0725664,0.795109687,0.444440549,1.145618869,
Century_Landing_fall_2018,R8,NPSi,1,1,1,glass,-11.42351902,0,1.310761855,3.37870502,
Century_Landing_fall_2018,S3,NPSi,1,1,1,glass,-10.69589006,0,0.458093418,1.180811391,
Century_Landing_fall_2018,L6,NSi,1,0,1,glass,-8.501240754,0,1.09657258,2.826596812,
Century_Landing_fall_2018,M3,NSi,1,0,1,glass,-5.489270564,0,0.326533191,0.841693194,
Century_Landing_fall_2018,O7,NSi,1,0,1,glass,-6.020288017,0,0.558947086,1.440778368,
Century_Landing_fall_2018,R6,NSi,1,0,1,glass,-7.356438758,0,0.807245338,2.080808094,
Century_Landing_fall_2018,T1,NSi,1,0,1,glass,-8.482741294,0,0.518748306,1.337159377,
Century_Landing_fall_2018,N8,P,0,1,0,glass,-12.38926911,0.711014463,0.925039122,2.384441013,
Century_Landing_fall_2018,P7,P,0,1,0,glass,-12.23527581,0,1.126009029,2.902474117,
Century_Landing_fall_2018,S5,P,0,1,0,glass,-13.44086152,0.489573443,0.789385551,2.034771543,
Century_Landing_fall_2018,T4,P,0,1,0,glass,-13.1519026,0,0.759995375,1.959013515,
Century_Landing_fall_2018,T7,P,0,1,0,glass,-12.07417171,0,1.05275543,2.713650875,
Century_Landing_fall_2018,L4,PSi,0,1,1,glass,-9.52424587,0,1.404473162,3.620261381,
Century_Landing_fall_2018,R1,PSi,0,1,1,glass,-9.98360908,0,0.541894997,1.396823794,Sharpie interference
Century_Landing_fall_2018,R5,PSi,0,1,1,glass,-8.922134947,0,0.833732064,2.149082,
Century_Landing_fall_2018,R7,PSi,0,1,1,glass,-5.067650033,0,0.068817899,0.177389493,
Century_Landing_fall_2018,S4,PSi,0,1,1,glass,-10.06109181,0,0.447705849,1.15403572,
Century_Landing_fall_2018,K1,Si,0,0,1,glass,-9.429569935,0,0.279511976,0.72048825,
Century_Landing_fall_2018,N5,Si,0,0,1,glass,-10.06152512,1.841631214,0.944125944,2.433640448,
Century_Landing_fall_2018,N7,Si,0,0,1,glass,-14.19628622,1.577861952,1.014156283,2.614155203,
Century_Landing_fall_2018,Q8,Si,0,0,1,glass,-13.01301583,2.201670823,0.364538875,0.939659116,
Century_Landing_fall_2018,T6,Si,0,0,1,glass,-10.20977459,0,0.93948061,2.421666331,
