id,nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla,cr.nrr,gpp.nrr
1,U1,Si,0,0,1,glass,-2.210282903,1.050696863,0,,
2,U2,N+Si,1,0,1,sponge,-4.585030035,2.36891228,0,,
3,U3,N+P+Si,1,1,1,sponge,-4.1780302,4.157085748,1.597449524,,
4,U4,Si,0,0,1,sponge,-1.870654213,0.666101933,0,,
5,U5,N+P,1,1,0,sponge,-10.66322036,1.744836624,0,,
6,U6,P,0,1,0,sponge,-2.828442341,2.601835059,0.539473531,,
7,U7,C,0,0,0,sponge,-2.540789801,3.366197993,0.455302169,,
8,U8,N+P,1,1,0,glass,-10.18412873,0,0,,
9,V1,P,0,1,0,glass,-3.712943981,2.176880645,0,,
10,V2,N+Si,1,0,1,glass,-2.170950821,3.466875824,1.418086334,,
11,V3,P,0,1,0,sponge,-2.294230481,0.972833468,0.294050272,,
12,V4,N+P,1,1,0,glass,-11.5585573,1.02523555,0,,
13,V5,N,1,0,0,glass,-4.066651221,3.939577187,1.872640813,,
14,V6,N,1,0,0,sponge,-11.4941004,2.654694955,0,,
15,V7,N,1,0,0,glass,-10.88694366,3.396626584,0,,
16,V8,Si,0,0,1,sponge,-1.432285008,0.931041983,0.36600256,,
17,W1,Si,0,0,1,sponge,-4.01180502,1.597251756,0,,
18,W2,P+Si,0,1,1,sponge,-2.935162047,0.020082096,0,,
19,W3,P+Si,0,1,1,sponge,-4.727681462,2.187455257,0,,
20,W4,C,0,0,0,sponge,-3.001155925,1.706285825,0.321013337,,
21,W5,N+Si,1,0,1,glass,-2.935162047,1.594003375,0,,
22,W6,C,0,0,0,glass,-3.378886024,2.037727352,0.395734744,,
23,W7,N+P,1,1,0,glass,-2.672948901,2.39193739,0.986041029,,
24,W8,P+Si,0,1,1,glass,-2.819102973,2.878343324,0.367859841,,
25,X1,Si,0,0,1,glass,-1.887261586,1.77919266,0.282622055,,
26,X2,N,1,0,0,sponge,-13.32974172,3.818415873,0,,
27,X3,N,1,0,0,sponge,-2.880382503,3.110590992,1.008819049,,
28,X4,N+P+Si,1,1,1,sponge,-13.61855749,1.438492136,0,,
29,X5,P,0,1,0,sponge,-5.24245936,2.795828416,0,,
30,X6,P+Si,0,1,1,glass,-4.504668333,2.289447299,0,,
31,X7,N+Si,1,0,1,sponge,-5.63305461,2.151514387,0,,
32,X8,N+Si,1,0,1,glass,-5.21650916,3.846249805,0,,
33,Y1,C,0,0,0,sponge,-3.287246025,3.656732208,0.6113138,,
34,Y2,Si,0,0,1,glass,-2.709015171,2.476415701,0.301100772,,
35,Y3,P,0,1,0,glass,-1.734335358,0.161515531,0,,
36,Y4,P+Si,0,1,1,sponge,-3.77230224,0.978661593,0,,
37,Y5,P+Si,0,1,1,sponge,-5.621920714,6.536152923,0.319660142,,
38,Y6,C,0,0,0,sponge,-2.790160763,2.400246984,0.375840102,,
39,Y7,N,1,0,0,glass,-2.673853561,3.472818688,1.66470596,,
40,Y8,C,0,0,0,glass,-3.777958022,1.945687824,0,,
41,Z1,N+P,1,1,0,glass,-4.575453568,0,0,,
42,Z2,N+Si,1,0,1,glass,-13.17272655,12.39043203,1.40581125,,
43,Z3,N+P,1,1,0,sponge,-3.347271713,1.715118991,5.121699273,,
44,Z4,P,0,1,0,sponge,-4.375403238,2.463885725,0,,
45,Z5,N+P+Si,1,1,1,glass,-4.466868793,5.33778473,2.016281024,,
46,Z6,Si,0,0,1,glass,-4.081230239,3.631936267,0.259106947,,
47,Z7,Si,0,0,1,glass,-1.920171116,0.606852258,0,,
48,Z8,N+P,1,1,0,glass,-3.182871364,2.840950569,1.832201817,,
49,AA1,C,0,0,0,glass,-4.5988191,2.851906546,0,,
50,AA2,P,0,1,0,glass,-4.505854111,3.541729582,0.348621633,,
51,AA3,C,0,0,0,sponge,-5.394241472,3.05533051,0,,
52,AA4,P+Si,0,1,1,sponge,-3.574712798,2.488715174,0.264362896,,
53,AA5,C,0,0,0,sponge,-4.403090109,2.54569896,0,,
54,AA6,Si,0,0,1,glass,-1.543488961,0.708418674,0,,
55,AA7,N+P+Si,1,1,1,glass,-4.4699008,3.536400314,1.981167429,,
56,AA8,C,0,0,0,glass,-5.869340625,4.177807402,0,,
57,BB1,N+P+Si,1,1,1,sponge,-4.290580434,3.845518918,1.827423071,,
58,BB2,Si,0,0,1,sponge,-1.041587722,0.527970402,0.288458264,,
59,BB3,P,0,1,0,glass,-0.8482628,0.309553161,0.182817268,,
60,BB4,N+P,1,1,0,sponge,-3.941461546,2.323782137,2.28544791,,
61,BB5,N+P,1,1,0,sponge,-14.6132734,3.219035628,0,,
62,BB6,N+P+Si,1,1,1,sponge,-16.70339198,4.046342614,0,,
63,BB7,P,0,1,0,glass,-4.114073083,2.707286899,0.319451786,,
64,BB8,P+Si,0,1,1,glass,-3.799801043,2.293234255,0.354861112,,
65,CC1,P,0,1,0,glass,-6.586346465,3.368921589,0,,
66,CC2,N+Si,1,0,1,sponge,-4.337555423,1.808237436,0,,
67,CC3,N,1,0,0,sponge,-13.52826664,5.261782699,0,,
68,CC4,P+Si,0,1,1,sponge,-3.407570047,1.916884038,0.331471466,,
69,CC5,N+P+Si,1,1,1,glass,-14.53499286,4.241279026,0,,
70,CC6,N+Si,1,0,1,glass,-3.232886139,2.635045901,0.86015813,,
71,CC7,N,1,0,0,sponge,-3.680585957,3.69914402,1.557068778,,
72,CC8,N,1,0,0,sponge,-12.73407117,4.935558625,0,,
73,DD1,N+P+Si,1,1,1,glass,-15.06503637,3.392206217,0,,
74,DD2,P+Si,0,1,1,glass,-5.808184245,2.641650639,0,,
75,DD3,N+Si,1,0,1,sponge,-2.805961933,2.753740467,0.687746863,,
76,DD4,N,1,0,0,glass,-5.293306079,5.43663166,0.141199828,,
77,DD5,N+P+Si,1,1,1,glass,-6.400634624,3.708528022,4.363148841,,
78,DD6,N+Si,1,0,1,glass,-3.279981452,2.595103654,1.161225896,,
79,DD7,N+P,1,1,0,sponge,-5.343639195,2.595801684,2.181157868,,
80,DD8,N+P+Si,1,1,1,sponge,-16.16525907,5.356069748,0,,
